Round,ClientID,ClientAccuracy,ClientTrainingTime,K,timestamp
16,client6,0.6309287447606442,2007.793182041496,10,03-03-26-205051
16,client18,0.6348669373026613,1764.0265331137923,10,03-03-26-205051
16,client17,0.65788876276958,2003.7689288146796,10,03-03-26-205051
16,client14,0.521239954075775,2066.359182819724,10,03-03-26-205051
16,client13,0.6032036613272311,2055.600601946935,10,03-03-26-205051
16,client2,0.6084254143646409,1876.011046813801,10,03-03-26-205051
16,client1,0.6297137664697865,1908.708191011101,10,03-03-26-205051
17,client5,0.6887709991158267,1923.0705930385736,10,03-03-26-205051
17,client6,0.6395323185528348,1886.2848121207207,10,03-03-26-205051
17,client18,0.6508795669824087,1659.6501839812845,10,03-03-26-205051
17,client17,0.6921679909194097,1670.321534154937,10,03-03-26-205051
17,client14,0.4950631458094144,2046.234000939876,10,03-03-26-205051
17,client13,0.6512585812356979,2398.171873064712,10,03-03-26-205051
17,client2,0.6563075506445673,1772.1328979823738,10,03-03-26-205051
17,client1,0.6381190368014539,1799.666723003611,10,03-03-26-205051
18,client6,0.7032870063975293,1977.1107349079105,10,03-03-26-205051
18,client5,0.6867816091954023,1938.722090795636,10,03-03-26-205051
18,client17,0.723950056753689,1686.884337803349,10,03-03-26-205051
18,client18,0.6858367162832657,2066.805929876864,10,03-03-26-205051
18,client13,0.6114416475972541,2132.6742239762098,10,03-03-26-205051
18,client14,0.6631458094144661,2014.5416459999976,10,03-03-26-205051
18,client1,0.7255792821444798,1732.626078883186,10,03-03-26-205051
18,client2,0.6869244935543278,1742.679927032441,10,03-03-26-205051
19,client5,0.7236958443854996,1901.8281858880075,10,03-03-26-205051
19,client6,0.7092433267151996,1834.131160983816,10,03-03-26-205051
19,client18,0.6914749661705006,1681.5667238552123,10,03-03-26-205051
19,client17,0.7459704880817253,1709.6376749686897,10,03-03-26-205051
19,client14,0.6925373134328359,1996.2478070519865,10,03-03-26-205051
19,client13,0.6961098398169336,2041.0650589037689,10,03-03-26-205051
19,client2,0.7044198895027625,1835.1802218239757,10,03-03-26-205051
19,client1,0.71240345297592,1739.1301859170198,10,03-03-26-205051
20,client5,0.7018125552608311,1907.7098979614675,10,03-03-26-205051
20,client6,0.7083609088903596,1866.5268989279864,10,03-03-26-205051
20,client17,0.713961407491487,1641.372146084905,10,03-03-26-205051
20,client18,0.7345511953089761,1821.9275821466,10,03-03-26-205051
20,client14,0.5830080367393801,1980.3517810069025,10,03-03-26-205051
20,client13,0.6864988558352403,2163.6022380553186,10,03-03-26-205051
20,client2,0.6910681399631676,1818.9850728958843,10,03-03-26-205051
20,client1,0.7151294865970014,1818.8377551268784,10,03-03-26-205051
21,client5,0.7186118479221928,1847.8482579812407,10,03-03-26-205051
21,client6,0.7273328921244209,1863.243767991662,10,03-03-26-205051
21,client18,0.7397383852052323,1688.5437639430163,10,03-03-26-205051
21,client17,0.7253121452894438,1710.1306919939816,10,03-03-26-205051
21,client14,0.643857634902411,2083.655563183129,10,03-03-26-205051
21,client13,0.6864988558352403,2139.7028281353414,10,03-03-26-205051
21,client2,0.710635359116022,1673.7782540731132,10,03-03-26-205051
21,client1,0.7158109950022717,1733.0849189311266,10,03-03-26-205051
22,client5,0.7203801945181255,1802.201050100848,10,03-03-26-205051
22,client6,0.7246856386499008,1872.974078869447,10,03-03-26-205051
22,client17,0.7525539160045402,1754.3324260041118,10,03-03-26-205051
22,client18,0.7381596752368065,1852.128355065361,10,03-03-26-205051
22,client14,0.687715269804822,1989.1461308579887,10,03-03-26-205051
22,client13,0.694279176201373,2142.535723047331,10,03-03-26-205051
22,client1,0.7405724670604271,1699.2847421206534,10,03-03-26-205051
22,client2,0.7092541436464088,1632.5983190909028,10,03-03-26-205051
23,client6,0.7242444297374807,1978.7345980294049,10,03-03-26-205051
23,client5,0.7371794871794872,2131.743924925104,10,03-03-26-205051
23,client17,0.7559591373439274,1699.720145901665,10,03-03-26-205051
23,client18,0.7316193053676139,1771.4165369980035,10,03-03-26-205051
23,client14,0.7526980482204363,2090.8204899169505,10,03-03-26-205051
23,client13,0.6935926773455378,2142.311487114057,10,03-03-26-205051
23,client1,0.7323943661971831,1731.4419588074088,10,03-03-26-205051
23,client2,0.6705801104972375,1667.15364693664,10,03-03-26-205051
